type	latitude	longitude	altitude (m)	course	slope (%)	distance (km)	distance_interval (m)	slope corrected
1	43.20415	-96.289856	382.2	0	0	0	0	0
1	43.20417	-96.286038	383	89.6	0.3	0.3103	310.3	0.3
1	43.204191	-96.283935	382.2	89.2	-0.5	0.4812	170.93	-0.5
1	43.204192	-96.280785	382.5	90	0.1	0.7372	256	0.1
1	43.20421	-96.276298	390.5	89.7	2.2	1.1019	364.67	2.2
1	43.20421	-96.27525	393.5	90	3.5	1.1871	85.17	3.5
1	43.205865	-96.27523	385.5	0.5		1.3709	183.87	-4.3
1	43.209388	-96.275281	382.8	359.4	-0.7	1.7624	391.42	-0.7
1	43.211266	-96.275302	381.1	359.5	-0.8	1.971	208.65	-0.8
1	43.213143	-96.275323	379.9	359.5	-0.6	2.1795	208.54	-0.6
1	43.21473	-96.2753	378.9	0.6	-0.6	2.3559	176.32	-0.6
1	43.214829	-96.274393	378.5	81.5	-0.5	2.4304	74.52	-0.5
1	43.214899	-96.271282	378.3	88.2	-0.1	2.6833	252.91	-0.1
1	43.21484	-96.267718	380.5	91.3	0.8	2.973	289.67	0.8
1	43.21479	-96.264004	386.4	91.1	2	3.2748	301.84	2
1	43.21481	-96.260132	389.3	89.6	0.9	3.5894	314.63	0.9
1	43.214803	-96.256357	398.3	90.1	2.9	3.8962	306.74	2.9
1	43.214797	-96.253433	404.4	90.2	2.6	4.1338	237.59	2.6
1	43.21479	-96.25051	410.9	90.2	2.7	4.3713	237.51	2.7
1	43.214809	-96.246891	421	89.6	3.4	4.6653	294.07	3.4
1	43.214829	-96.243463	418.1	89.5	-1	4.9439	278.56	-1
1	43.214848	-96.240034	426.9	89.6	3.2	5.2225	278.64	3.2
1	43.214867	-96.236605	415.8	89.6	-4	5.5012	278.64	-4
1	43.21487	-96.23612	418.1	89.5		5.5406	39.41	5.8
1	43.21262	-96.235776	421.7	173.6	1.4	5.7921	251.53	1.4
1	43.210371	-96.235751	430.9	179.5	3.7	6.042	249.87	3.7
1	43.207836	-96.235723	427.7	179.5	-1.1	6.3236	281.64	-1.1
1	43.205174	-96.235697	420.7	179.6	-2.4	6.6194	295.75	-2.4
1	43.202749	-96.235674	423.1	179.6	0.9	6.8888	269.42	0.9
1	43.200231	-96.23577	422.9	181.6	-0.1	7.1686	279.85	-0.1
1	43.20022	-96.2368	420.6	269.2	-2.8	7.2524	83.72	-2.7
1	43.20022	-96.233995	424.5	90	1.7	7.4803	227.98	1.7
1	43.20023	-96.229651	429.4	89.8	1.4	7.8334	353.06	1.4
1	43.20024	-96.226782	432.3	89.7	1.2	8.0666	233.18	1.2
1	43.200253	-96.221612	433.1	89.8	0.2	8.4868	420.2	0.2
1	43.200257	-96.219264	430.5	89.9	-1.4	8.6776	190.84	-1.4
1	43.20026	-96.216916	436.7	89.9	3.3	8.8684	190.84	3.2
1	43.200252	-96.213398	432	90.2	-1.6	9.1544	285.93	-1.6
1	43.200244	-96.209926	436.3	90.2	1.5	9.4366	282.19	1.5
1	43.200237	-96.206454	427	90.2	-3.3	9.7188	282.19	-3.3
1	43.200229	-96.202983	429.9	90.2	1	10.0009	282.11	1
1	43.200221	-96.199511	437.1	90.2	2.6	10.2831	282.19	2.6
1	43.200213	-96.196039	439.6	90.2	0.9	10.5652	282.19	0.9
1	43.2002	-96.191416	436.4	90.2	-0.9	10.941	375.74	-0.9
1	43.200191	-96.188203	439	90.2	1	11.2021	261.14	1
1	43.200181	-96.184989	440	90.2	0.4	11.4634	261.22	0.4
1	43.200172	-96.181776	442.7	90.2	1	11.7245	261.14	1
1	43.200162	-96.178562	442.6	90.2	0	11.9857	261.22	0
1	43.20016	-96.17775	439.5	90.2		12.0517	66	-4.7
1	43.198479	-96.177352	445	170.2	2.9	12.2412	189.53	2.9
1	43.195765	-96.177308	445.1	179.3	0	12.5428	301.54	0
1	43.193241	-96.177303	442.3	179.9	-1	12.8232	280.41	-1
1	43.190612	-96.1773	448.3	180	2.1	13.1153	292.07	2.1
1	43.188111	-96.177308	445.3	180.1	-1.1	13.3931	277.85	-1.1
1	43.185798	-96.177291	446.1	179.7	0.3	13.6501	256.97	0.3
1	43.18518	-96.17729	445.6	179.9	-0.7	13.7187	68.66	-0.7
1	43.185724	-96.174219	445.6	76.3	0	13.9756	256.87	0
1	43.185729	-96.171698	445.4	89.8	-0.1	14.1806	204.95	-0.1
1	43.185739	-96.167953	442.2	89.8	-1.1	14.485	304.45	-1.1
1	43.185748	-96.164886	442.2	89.8	0	14.7343	249.33	0
1	43.185755	-96.160862	445.7	89.9	1.1	15.0615	327.13	1.1
1	43.185761	-96.157624	443.1	89.9	-1	15.3247	263.23	-1
1	43.185766	-96.154386	440.2	89.9	-1.1	15.5879	263.23	-1.1
1	43.185767	-96.149343	439.2	90	-0.2	15.9979	409.97	-0.2
1	43.185765	-96.146447	442	90.1	1.2	16.2333	235.43	1.2
1	43.185762	-96.14355	442.4	90.1	0.2	16.4689	235.51	0.2
1	43.18576	-96.138782	439.3	90	-0.8	16.8565	387.61	-0.8
1	43.18576	-96.136745	436.3	90	-1.8	17.0221	165.6	-1.8
1	43.185749	-96.131817	433.5	90.2	-0.7	17.4227	400.62	-0.7
1	43.185759	-96.129954	432.4	89.6	-0.7	17.5741	151.46	-0.7
1	43.18576	-96.126674	432	90	-0.2	17.8408	266.65	-0.2
1	43.185763	-96.123111	429.4	89.9	-0.9	18.1304	289.65	-0.9
1	43.185767	-96.119682	428.2	89.9	-0.4	18.4092	278.76	-0.4
1	43.185787	-96.114453	430	89.7	0.4	18.8343	425.1	0.4
1	43.185805	-96.112346	433.2	89.3	1.9	19.0056	171.3	1.9
1	43.185827	-96.108817	433.5	89.5	0.1	19.2925	286.9	0.1
1	43.185849	-96.104355	436.2	89.6	0.7	19.6552	362.75	0.7
1	43.185859	-96.102149	436.6	89.6	0.2	19.8346	179.34	0.2
1	43.185895	-96.098603	434.5	89.2	-0.7	20.1229	288.3	-0.7
1	43.185929	-96.095355	429.7	89.2	-1.8	20.387	264.07	-1.8
1	43.185967	-96.091834	423.9	89.2	-2	20.6732	286.27	-2
1	43.186003	-96.088368	428.4	89.2	1.6	20.955	281.8	1.6
1	43.18604	-96.084902	431.9	89.2	1.2	21.2368	281.8	1.2
1	43.186097	-96.07956	430.8	89.2	-0.3	21.6711	434.32	-0.3
1	43.186124	-96.07704	431	89.2	0.1	21.876	204.88	0.1
1	43.186162	-96.072485	433.2	89.3	0.6	22.2463	370.32	0.6
1	43.186174	-96.07032	432.9	89.6	-0.2	22.4224	176.01	-0.2
1	43.186193	-96.066121	434.1	89.6	0.4	22.7637	341.36	0.4
1	43.186206	-96.063021	435.3	89.7	0.5	23.0157	252.02	0.5
1	43.186219	-96.059922	436.1	89.7	0.3	23.2677	251.94	0.3
1	43.186232	-96.056823	436.4	89.7	0.1	23.5196	251.94	0.1
1	43.186245	-96.052382	431.9	89.8	-1.3	23.8806	361.03	-1.2
1	43.186249	-96.049884	430.1	89.9	-0.9	24.0837	203.07	-0.9
1	43.18625	-96.046172	428.4	90	-0.6	24.3855	301.76	-0.6
1	43.18625	-96.043004	432.6	90	1.6	24.643	257.54	1.6
1	43.18625	-96.038844	433.4	90	0.2	24.9812	338.18	0.2
1	43.18625	-96.036008	433.5	90	0	25.2117	230.55	0
1	43.186239	-96.03201	435.1	90.2	0.5	25.5368	325.02	0.5
1	43.186227	-96.028729	436.7	90.3	0.6	25.8035	266.73	0.6
1	43.186216	-96.025449	432.7	90.3	-1.5	26.0701	266.65	-1.5
1	43.186204	-96.022168	430.1	90.3	-1	26.3369	266.73	-1
1	43.186204	-96.017717	426.9	90	-0.9	26.6987	361.84	-0.9
1	43.186208	-96.014514	429.3	89.9	0.9	26.9591	260.39	0.9
1	43.186213	-96.011311	430.5	89.9	0.5	27.2195	260.39	0.5
1	43.186217	-96.008107	429.1	89.9	-0.5	27.4799	260.47	-0.5
1	43.186228	-96.002701	430	89.8	0.2	27.9194	439.48	0.2
1	43.186235	-95.999713	432.5	89.8	1	28.1623	242.91	1
1	43.186243	-95.996724	433.9	89.8	0.6	28.4053	242.99	0.6
1	43.18625	-95.993736	434.5	89.8	0.2	28.6482	242.91	0.2
1	43.186258	-95.990747	435.1	89.8	0.2	28.8912	242.99	0.2
1	43.186263	-95.986657	435.9	89.9	0.2	29.2237	332.49	0.2
1	43.186266	-95.983544	436.1	89.9	0.1	29.4768	253.07	0.1
1	43.18627	-95.98043	437.1	89.9	0.4	29.7299	253.15	0.4
1	43.186275	-95.976829	439.1	89.9	0.7	30.0227	292.74	0.7
1	43.186253	-95.971991	440.1	90.4	0.3	30.416	393.31	0.3
1	43.186168	-95.968913	439.2	92.2	-0.4	30.6664	250.4	-0.4
1	43.186004	-95.96575	439.1	94.1	0	30.9242	257.78	0
1	43.185769	-95.962535	439.1	95.7	0	31.1868	262.66	0
1	43.185496	-95.959591	438.7	97.2	-0.2	31.4281	241.25	-0.2
1	43.185107	-95.956178	437.2	98.9	-0.5	31.7089	280.81	-0.5
1	43.18484	-95.952653	435.9	95.9	-0.5	31.997	288.1	-0.5
1	43.185461	-95.948354	432.7	78.8	-0.9	32.3532	356.23	-0.9
1	43.185938	-95.945938	431.9	74.8	-0.4	32.5567	203.43	-0.4
1	43.186142	-95.941922	430.5	86	-0.4	32.8839	327.26	-0.4
1	43.186118	-95.938594	433.6	90.6	1.1	33.1545	270.56	1.1
1	43.186083	-95.933326	428.4	90.5	-1.2	33.5828	428.28	-1.2
1	43.186066	-95.930561	425.5	90.5	-1.3	33.8075	224.79	-1.3
1	43.186048	-95.927797	427.7	90.5	1	34.0322	224.71	1
1	43.186031	-95.925033	428.7	90.5	0.4	34.257	224.71	0.4
1	43.186001	-95.921592	427.1	90.7	-0.6	34.5367	279.75	-0.6
1	43.186005	-95.916805	427.4	89.9	0.1	34.9259	389.16	0.1
1	43.186	-95.91455	426.9	90.2	-0.3	35.1092	183.32	-0.3
1	43.186	-95.910975	430.3	90	1.2	35.3998	290.63	1.2
1	43.186	-95.907559	431	90	0.3	35.6775	277.7	0.3
1	43.186	-95.904144	431	90	0	35.9551	277.62	0
1	43.185984	-95.898494	435.4	90.2	1	36.4145	459.32	1
1	43.185969	-95.895317	436.9	90.4	0.6	36.6727	258.28	0.6
1	43.185953	-95.892141	437.3	90.4	0.2	36.9309	258.2	0.2
1	43.185937	-95.888964	441.2	90.4	1.5	37.1892	258.28	1.5
1	43.185921	-95.885788	438.2	90.4	-1.2	37.4474	258.2	-1.2
1	43.185906	-95.882611	431.8	90.4	-2.5	37.7057	258.28	-2.5
1	43.18589	-95.879435	428.7	90.4	-1.2	37.9639	258.2	-1.2
1	43.185874	-95.876258	424	90.4	-1.8	38.2222	258.28	-1.8
1	43.185848	-95.872334	427	90.5	0.9	38.5412	319.01	0.9
1	43.185827	-95.869248	420.6	90.5	-2.6	38.7921	250.89	-2.6
1	43.185808	-95.865236	420.8	90.4	0.1	39.1182	326.16	0.1
1	43.185795	-95.862222	424.8	90.3	1.6	39.3633	245.03	1.6
1	43.185833	-95.85819	427	89.3	0.7	39.6911	327.81	0.7
1	43.185876	-95.855381	429.4	88.8	1.1	39.9195	228.41	1.1
1	43.185916	-95.851754	433.3	89.1	1.3	40.2144	294.89	1.3
1	43.185952	-95.848417	432.7	89.2	-0.2	40.4857	271.31	-0.2
1	43.185983	-95.844444	438.6	89.4	1.8	40.8087	323	1.8
1	43.18599	-95.84327	438.4	89.5	-0.2	40.9041	95.44	-0.2
1	43.187262	-95.842183	434.3	31.9	-2.5	41.0708	166.67	-2.5
1	43.189375	-95.842232	427.4	359	-2.9	41.3056	234.78	-2.9
1	43.191909	-95.842276	424.2	359.3	-1.1	41.5871	281.54	-1.1
1	43.194833	-95.842335	424.2	359.2	0	41.912	324.88	0
1	43.196746	-95.842381	423.8	359	-0.2	42.1245	212.56	-0.2
1	43.199445	-95.842439	423.8	359.1	0	42.4244	299.89	0
1	43.20175	-95.842488	423.9	359.1	0	42.6805	256.11	0
1	43.204253	-95.842529	428.7	359.3	1.7	42.9586	278.09	1.7
1	43.2061	-95.84344	430.9	340.2	1	43.1768	218.14	1
1	43.207227	-95.842828	431	21.6	0.1	43.3115	134.72	0.1
1	43.209922	-95.841333	431.5	22	0.2	43.6346	323.12	0.2
1	43.211903	-95.840225	431.7	22.2	0.1	43.8724	237.79	0.1
1	43.213885	-95.839118	432.2	22.1	0.2	44.1103	237.86	0.2
1	43.215866	-95.83801	433	22.2	0.3	44.3481	237.79	0.3
1	43.21826	-95.836669	433	22.2	0	44.6355	287.42	0
1	43.220599	-95.835359	434.5	22.2	0.5	44.9163	280.81	0.5
1	43.222939	-95.834048	436.1	22.2	0.6	45.1972	280.94	0.6
1	43.225278	-95.832738	439.1	22.2	1.1	45.478	280.81	1.1
1	43.227618	-95.831427	439.1	22.2	0	45.759	280.94	0
1	43.231614	-95.829178	436	22.3	-0.6	46.239	480.07	-0.6
1	43.233598	-95.828057	436	22.4	0	46.4775	238.49	0
1	43.235582	-95.826935	436	22.4	0	46.716	238.52	0
1	43.237565	-95.825814	437.2	22.4	0.5	46.9544	238.38	0.5
1	43.239549	-95.824692	436.1	22.4	-0.5	47.1929	238.51	-0.5
1	43.242187	-95.823239	436.1	21.9	0	47.5089	315.94	0
1	43.24396	-95.82226	436.1	21.9	0	47.7213	212.42	0
1	43.244134	-95.822163	436.1	22.1	0	47.7422	20.87	0
1	43.244166	-95.818724	434.7	89.3	-0.5	48.0215	279.33	-0.5
1	43.244207	-95.815091	433.5	89.1	-0.4	48.3166	295.1	-0.4
1	43.244253	-95.810291	436.4	89.2	0.7	48.7065	389.88	0.7
1	43.244276	-95.807431	436.4	89.4	0	48.9388	232.3	0
1	43.244299	-95.804572	436.7	89.4	0.1	49.171	232.21	0.1
1	43.244302	-95.800039	438.8	89.9	0.6	49.5391	368.16	0.6
1	43.244294	-95.796807	439.1	90.2	0.1	49.8016	262.5	0.1
1	43.244286	-95.793576	439.7	90.2	0.2	50.0641	262.41	0.2
1	43.244278	-95.790345	441.1	90.2	0.5	50.3265	262.41	0.5
1	43.24427	-95.787113	442.3	90.2	0.5	50.589	262.5	0.5
1	43.244262	-95.783882	439.2	90.2	-1.2	50.8514	262.41	-1.2
1	43.244273	-95.779967	440.4	89.8	0.4	51.1693	317.97	0.4
1	43.244287	-95.776874	443	89.6	1	51.4206	251.21	1
1	43.244295	-95.772815	445.7	89.8	0.8	51.7502	329.66	0.8
1	43.2443	-95.76957	443.2	89.9	-1	52.0138	263.55	-0.9
1	43.244306	-95.766325	439.5	89.9	-1.4	52.2773	263.55	-1.4
1	43.244314	-95.761304	438.8	89.9	-0.2	52.6851	407.79	-0.2
1	43.244318	-95.758938	441	89.9	1.1	52.8773	192.16	1.1
1	43.244337	-95.753761	439.8	89.7	-0.3	53.2977	420.47	-0.3
1	43.244333	-95.751443	440.8	90.1	0.5	53.486	188.26	0.5
1	43.244324	-95.747877	441.8	90.2	0.3	53.7756	289.62	0.3
1	43.244339	-95.745485	440.5	89.5	-0.7	53.9699	194.28	-0.7
